player_norm,espn_athlete_id
saul coco,274258
niels nkounkou,298030
valentino lazaro,303001
rafael obrador,304217
saba sazonov,314403
luca marianucci,367690
mattia pellini,416520
matteo prati,107960
adrien tameze,159324
nikola vlasic,206378
ivan ilic,260004
faustino anjorin,282642
emirhan ilkhan,330707
cesare casadei,336394
gvidas gineitis,338266
sergiu perciun,389461
wisdom acquah,417402
zalan kugyela,417945
giovanni simeone,189974
duvan zapata,193644
che adams,213725
sandro kulenovic,245538
zakaria aboukhlal,277865
zanos savva,367740
alieu njie,367743
tommaso gabellini,389463
giacomo satalino,234305
arijanet muric,259838
stefano turati,261399
gioele zacchi,310770
lorenzo nyarko,413868
filippo romagna,202335
ulisses garcia,220718
jay idzes,272873
fali cande,287677
sebastian walukiewicz,288483
josh doig,290418
woyo coulibaly,290581
tarik muharemovic,318390
edoardo pieragnolo,333925
pedro felipe,361455
tommaso macchioni,415197
luca barani,417248
nemanja matic,135743
kristian thorstvedt,284212
aster vranckx,290798
daniel boloca,307061
edoardo iannoni,307969
ismael kone,325001
cristian volpato,330259
luca lipani,347408
darryl bakola,384170
christian frangella,415198
domenico berardi,173817
andrea pinamonti,239086
m'bala nzola,261173
armand lauriente,272719
luca moro,278778
alieu fadera,324705
daniele padelli,93816
maduka okoye,295476
razvan sava,302721
alessandro nunziante,362555
thomas kristensen,99909
christian kabasele,150081
hassane kamara,193919
kingsley ehizibue,212476
oumar solet,261066
alessandro zanoli,270010
jordan zemura,283171
nicolo bertola,319437
branimir mlacic,406061
jesper karlstrom,237055
nicolo zaniolo,251388
jurgen ekkelenkamp,270817
jakub piotrowski,276267
oier zarraga,306579
lennon miller,347009
arthur atta,356213
juan david arizala,360207
abdoulaye camara,400788
keinan davis,233654
adam buksa,257211
bayo youssouf,263508
giulio vinciati,408146
wojciech szczesny,131634
joan garcia,297362
diego kochen,368359
eder aller,403587
eric garcia,128714
joao cancelo,176399
andreas christensen,186430
jules kounde,231692
ronald araujo,270821
gerard martin,312015
alejandro balde,323703
pau cubarsi,368992
xavi espart,403582
jofre torrents,403588
frenkie de jong,219022
dani olmo,227765
pedri,250465
gavi,323702
marc casado,345489
fermin lopez,354334
juan hernandez,371565
marc bernal,376423
guille fernandez,388286
tomas marques,403590
robert lewandowski,125824
marcus rashford,230945
raphinha,231050
ferran torres,265869
roony bardghji,331152
lamine yamal,362150
daniel rodriguez,363041
toni fernandez,388285
marc vidal,138674
andrei radu,144720
ivan villar,242580
marcos gonzalez,376424
marcos alonso,146127
carl starfelt,195790
joseph aidoo,219309
mihailo ristic,221334
oscar mingueza,276546
sergio carreira,298343
carlos dominguez,312376
javi rueda,331586
alvaro nunez,367430
javi rodriguez,376147
yoel lago,384643
manuel fernandez,399230
pablo meixus,414291
matias vecino,145600
hugo alvarez,188391
franco cervi,204014
ilaix moriba,297829
hugo sotelo,319114
williot swedberg,322652
miguel roman,353736
fernando lopez,395625
andres antanon,414292
hugo burcio,414293
iago aspas,92800
pablo duran,138448
borja iglesias,214995
ferran jutgla,279904
hugo gonzalez,163150
jones el-abdellaoui,334111
oscar marcos,405521
angel arcos,415036
nikita contini,198082
alex meret,209746
vanja milinkovic-savic,219531
mathias ferrante,410798
david spinelli,413630
leonardo spinazzola,148974
giovanni di lorenzo,155904
juan jesus,170663
amir rrahmani,205576
mathias olivera,234881
alessandro buongiorno,252605
pasquale mazzocchi,260188
sam beukema,261594
miguel gutierrez,290044
christian garofalo,418210
kevin de bruyne,134947
stanislav lobotka,188412
frank anguissa,215721
eljif elmas,237435
scott mctominay,255850
