projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id
10404526,268295,Beckett Sennecke,ANA,F,Assists,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8484762
10404527,268295,Beckett Sennecke,ANA,F,Plus/Minus,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,plus/minus,SKATER,STL,1,8484762
10404528,268295,Beckett Sennecke,ANA,F,Power Play Points,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,power_play_points,SKATER,STL,1,8484762
10404530,225514,Cam Fowler,STL,D,Assists,0.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,ANA,0,8475764
10404531,225514,Cam Fowler,STL,D,Points,0.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8475764
10404532,267737,Chris Kreider,ANA,F,Assists,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8475184
10404533,267737,Chris Kreider,ANA,F,Plus/Minus,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,plus/minus,SKATER,STL,1,8475184
10404535,267737,Chris Kreider,ANA,F,Power Play Points,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,power_play_points,SKATER,STL,1,8475184
10404538,215935,Cutter Gauthier,ANA,F,Assists,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8483445
10404539,215935,Cutter Gauthier,ANA,F,Plus/Minus,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,plus/minus,SKATER,STL,1,8483445
