player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Alexis Mac Allister,LIV,Assists,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Alexis Mac Allister,LIV,Yellow Cards,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Ryan Gravenberch,LIV,Goals,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Ryan Gravenberch,LIV,Assists,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Hugo Ekitike,LIV,Goals,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Hugo Ekitike,LIV,Assists,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Hugo Ekitike,LIV,Yellow Cards,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Florian Wirtz,LIV,Goals,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Florian Wirtz,LIV,Assists,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Florian Wirtz,LIV,Fouls,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Florian Wirtz,LIV,Yellow Cards,0.0,uefa.champions,,3.0,0.0,0.0,,,,
Mohamed Salah,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Mohamed Salah,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Mohamed Salah,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Mohamed Salah,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Mohamed Salah,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Andrew Robertson,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Andrew Robertson,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Andrew Robertson,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Andrew Robertson,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Rio Ngumoha,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Rio Ngumoha,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Rio Ngumoha,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Rio Ngumoha,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Rio Ngumoha,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Amara Nallo,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Amara Nallo,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Amara Nallo,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Amara Nallo,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Amara Nallo,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Jeremie Frimpong,LIV,Goals,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Jeremie Frimpong,LIV,Assists,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Jeremie Frimpong,LIV,Fouls,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Jeremie Frimpong,LIV,Yellow Cards,0.0,uefa.champions,,1.0,0.0,0.0,,,,
Cody Gakpo,LIV,Goals,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Cody Gakpo,LIV,Assists,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Cody Gakpo,LIV,Fouls,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Cody Gakpo,LIV,Yellow Cards,0.0,uefa.champions,,2.0,0.0,0.0,,,,
Kornel Misciur,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kornel Misciur,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kornel Misciur,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kornel Misciur,LIV,Goalkeeper Saves,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kornel Misciur,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kornel Misciur,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Kieran Morrison,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Kieran Morrison,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Kieran Morrison,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Kieran Morrison,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Kieran Morrison,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Curtis Jones,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Curtis Jones,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Curtis Jones,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Curtis Jones,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Curtis Jones,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Trey Nyoni,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Trey Nyoni,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Trey Nyoni,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Trey Nyoni,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Trey Nyoni,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Freddie Woodman,LIV,Shots,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Freddie Woodman,LIV,Goals,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Freddie Woodman,LIV,Assists,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Freddie Woodman,LIV,Goalkeeper Saves,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Freddie Woodman,LIV,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Freddie Woodman,LIV,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,0.0,,,
Marco Carnesecchi,ATA,Shots,0.0,uefa.champions,,0.0,0.0,0.0,6.0,,,
Marco Carnesecchi,ATA,Goals,0.0,uefa.champions,,0.0,0.0,0.0,6.0,,,
Marco Carnesecchi,ATA,Assists,0.0,uefa.champions,,0.0,0.0,0.0,6.0,,,
Marco Carnesecchi,ATA,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,6.0,,,
Marco Carnesecchi,ATA,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,6.0,,,
Sead Kolasinac,ATA,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Sead Kolasinac,ATA,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Sead Kolasinac,ATA,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Sead Kolasinac,ATA,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Isak Hien,ATA,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Isak Hien,ATA,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Isak Hien,ATA,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Isak Hien,ATA,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
