Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,D,-0.6,Ivan Kharchenkov,ARIZ,ISU,Rebounds,Demon,7.5,OVER,-1.7536,5.7464,0.15,6.4,4.182,1,4,,03/02 09:00PM,reb,
CBB,D,-0.6,Tamin Lipsey,ISU,ARIZ,Assists,Demon,5.5,OVER,-1.071,4.429,0.05,4,5.095,0,5,Elite,03/02 09:00PM,ast,
CBB,D,-0.6,Jaden Bradley,ARIZ,ISU,3-PT Made,Goblin,0.5,OVER,-0.5,0,0,0,0,0,5,,03/02 09:00PM,3pm,
CBB,D,-0.6,Ivan Kharchenkov,ARIZ,ISU,3-PT Made,Goblin,0.5,OVER,-0.5,0,0,0,0,0,5,,03/02 09:00PM,3pm,
CBB,D,-0.61,Brayden Burries,ARIZ,ISU,Rebounds,Demon,7.5,OVER,-1.8718,5.6282,0.2,5.6,5.591,1,4,,03/02 09:00PM,reb,
CBB,D,-0.61,Koa Peat,ARIZ,ISU,Points,Demon,13.5,OVER,-2.1,11.4,0.25,10.4,13,1,4,,03/02 09:00PM,pts,
CBB,D,-0.64,Jaden Bradley,ARIZ,ISU,3-PT Made,Demon,1.5,OVER,-1.5,0,0,0,0,0,5,,03/02 09:00PM,3pm,
CBB,D,-0.66,Ven-Allen Lubin,NCST,DUKE,Fantasy Score,Demon,31,OVER,-0.470799999999997,30.5292,0.4,31.62,28.341,2,3,Elite,03/02 07:05PM,fantasy score,
CBB,D,-0.66,Koa Peat,ARIZ,ISU,Assists,Demon,4.5,OVER,-1.9242,2.5758,0.15,2.8,2.579,1,4,,03/02 09:00PM,ast,
CBB,D,-0.68,Brayden Burries,ARIZ,ISU,Fantasy Score,Demon,35.5,OVER,-3.9998,31.5002,0.45,29.82,31.891,2,3,,03/02 09:05PM,fantasy score,
CBB,D,-0.69,Milan Momcilovic,ISU,ARIZ,Rebounds,Demon,4.5,OVER,-1.5736,2.9264,0.15,2.6,3.182,0,5,Elite,03/02 09:00PM,reb,
CBB,D,-0.69,Brayden Burries,ARIZ,ISU,Pts+Rebs+Asts,Demon,29.5,OVER,-4.082799999999999,25.4172,0.45,24.2,25.636,2,3,,03/02 09:00PM,pra,
CBB,D,-0.69,Motiejus Krivas,ARIZ,ISU,Blocked Shots,Demon,3.5,OVER,-1.8972,1.6028,0.05,1.2,1.864,0,5,,03/02 09:00PM,blk,
CBB,D,-0.71,Joshua Jefferson,ISU,ARIZ,3-PT Made,Goblin,0.5,OVER,-0.5,0,0,0,0,0,5,Elite,03/02 09:00PM,3pm,
CBB,D,-0.71,Tamin Lipsey,ISU,ARIZ,3-PT Made,Goblin,0.5,OVER,-0.5,0,0,0,0,0,5,Elite,03/02 09:00PM,3pm,
