cx,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,B,0.72,David Mirkovic,ILL,MICH,Pts+Rebs+Asts,Standard,20,OVER,3.300000000000001,23.3,0.6499999999999999,23.4,23.2,3,2,Elite,02/27 08:00PM,pra,
CBB,B,0.72,Kylan Boswell,ILL,MICH,Rebs+Asts,Standard,7.5,OVER,2.300000000000001,9.8,0.8,9.8,9.8,4,1,Elite,02/27 08:00PM,ra,
CBB,B,0.71,Andrej Stojakovic,ILL,MICH,Pts+Rebs,Standard,14.5,OVER,3.199999999999999,17.7,0.5,18.2,17.2,3,2,Elite,02/27 08:00PM,pr,
CBB,B,0.71,Jordan Scott,MSU,PUR,Pts+Rebs+Asts,Goblin,12.5,OVER,2.350000000000001,14.85,0.85,16.6,13.1,5,0,Elite,02/26 08:00PM,pra,
CBB,B,0.7,Fletcher Loyer,PUR,MSU,Pts+Rebs+Asts,Goblin,15.5,OVER,3.199999999999999,18.7,0.65,20,17.4,4,1,Elite,02/26 08:00PM,pra,
CBB,B,0.7,Curtis Givens,MEM,WICH,Points,Goblin,9.5,OVER,2.1,11.6,0.75,12,11.2,4,1,Above Avg,02/26 09:00PM,pts,
CBB,B,0.7,Fletcher Loyer,PUR,MSU,Points,Goblin,11.5,OVER,2.800000000000001,14.3,0.65,15.4,13.2,4,1,Elite,02/26 08:00PM,pts,
CBB,B,0.69,Oscar Cluff,PUR,MSU,Assists,Goblin,0.5,OVER,1.35,1.85,0.75,2,1.7,4,1,Elite,02/26 08:00PM,ast,
CBB,C,0.68,Jeremy Fears,MSU,PUR,Rebs+Asts,Standard,10,OVER,2.350000000000001,12.35,0.75,12.8,11.9,4,1,Elite,02/26 08:00PM,ra,
CBB,C,0.67,Darius Acuff,ARK,FLA,Points,Demon,24.5,OVER,3.75,28.25,0.5,30,26.5,3,2,Above Avg,02/28 08:30PM,pts,
CBB,C,0.66,Jordan Mason,TEM,FAU,Fantasy Score,Standard,21,OVER,1.539999999999999,22.54,0.6,23.24,21.84,3,2,Avg,02/26 07:00PM,fantasy score,
CBB,C,0.66,Trey Kaufman-Renn,PUR,MSU,Rebounds,Goblin,7.5,OVER,2.300000000000001,9.8,0.65,11.4,8.2,4,1,Elite,02/26 08:00PM,reb,
CBB,C,0.64,Elliot Cadeau,MICH,ILL,Points,Goblin,8.5,OVER,2.149999999999999,10.65,0.65,11.6,9.7,4,1,Elite,02/27 08:00PM,pts,
CBB,C,0.64,Kylan Boswell,ILL,MICH,Rebounds,Goblin,3.5,OVER,1.5,5,0.8,5,5,4,1,Elite,02/27 08:00PM,reb,
CBB,C,0.64,Jordan Scott,MSU,PUR,Points,Goblin,8.5,OVER,1.9,10.4,0.8,11.8,9,5,0,Elite,02/26 08:00PM,pts,
CBB,C,0.63,Braden Smith,PUR,MSU,Rebounds,Goblin,2.5,OVER,1.65,4.15,0.6499999999999999,4.4,3.9,3,2,Elite,02/26 08:00PM,reb,
CBB,C,0.63,Trey Kaufman-Renn,PUR,MSU,Pts+Rebs+Asts,Goblin,23.5,OVER,3.149999999999999,26.65,0.8,29,24.3,5,0,Elite,02/26 08:00PM,pra,
CBB,C,0.62,Julius Thedford,MEM,WICH,Steals,Goblin,0.5,OVER,0.75,1.25,0.8,1.4,1.1,4,1,Above Avg,02/26 09:00PM,stl,
CBB,C,0.62,David Mirkovic,ILL,MICH,Pts+Rebs,Standard,17.5,OVER,2.650000000000002,20.15,0.7,19.8,20.5,3,2,Elite,02/27 08:00PM,pr,
CBB,C,0.61,David Mirkovic,ILL,MICH,Rebounds,Goblin,4.5,OVER,1.45,5.95,0.8500000000000001,5.4,6.5,4,1,Elite,02/27 08:00PM,reb,
CBB,C,0.61,Kenyon Giles,WICH,MEM,Pts+Asts,Standard,22.5,OVER,1.199999999999999,23.7,0.75,24,23.4,4,1,Avg,02/26 09:00PM,pa,
CBB,C,0.6,Oscar Cluff,PUR,MSU,Pts+Rebs+Asts,Goblin,11.5,OVER,2.75,14.25,0.55,14.2,14.3,3,2,Elite,02/26 08:00PM,pra,
CBB,C,0.59,Isaiah Elohim,FAU,TEM,Fantasy Score,Standard,21.5,OVER,2.5,24,0.6,24.08,23.92,3,2,Above Avg,02/26 07:00PM,fantasy score,
CBB,C,0.58,Thomas Haugh,FLA,ARK,Rebounds,Goblin,3.5,OVER,0.9000000000000004,4.4,0.45,4,4.8,2,3,Weak,02/28 08:30PM,reb,
CBB,C,0.57,Curtis Givens,MEM,WICH,Pts+Rebs+Asts,Goblin,15.5,OVER,2.25,17.75,0.6,18.2,17.3,3,2,Above Avg,02/26 09:00PM,pra,
CBB,C,0.57,Jeremy Fears,MSU,PUR,Points,Standard,14.5,OVER,2.549999999999997,17.05,0.5,15.4,18.7,2,3,Elite,02/26 08:00PM,pts,
CBB,C,0.56,Jaxon Kohler,MSU,PUR,Rebounds,Goblin,7.5,OVER,1.75,9.25,0.65,10.4,8.1,4,1,Elite,02/26 08:00PM,reb,
CBB,C,0.56,Julius Thedford,MEM,WICH,Pts+Rebs+Asts,Goblin,14.5,OVER,2.100000000000001,16.6,0.65,17.8,15.4,4,1,Above Avg,02/26 09:00PM,pra,
CBB,C,0.56,Karon Boyd,WICH,MEM,Rebounds,Goblin,4.5,OVER,1.1,5.6,0.55,6.2,5,3,2,Avg,02/26 09:00PM,reb,
CBB,C,0.55,Aiden Tobiason,TEM,FAU,Fantasy Score,Standard,25,OVER,1.285,26.285,0.5,24.76,27.81,2,3,Avg,02/26 07:00PM,fantasy score,
CBB,C,0.55,Julius Thedford,MEM,WICH,Points,Goblin,8.5,OVER,1.649999999999999,10.15,0.7,11,9.3,4,1,Above Avg,02/26 09:00PM,pts,
CBB,C,0.54,Keaton Wagler,ILL,MICH,Steals,Goblin,0.5,OVER,0.75,1.25,0.7,1.4,1.1,4,1,Elite,02/27 08:00PM,stl,
CBB,C,0.54,Carson Cooper,MSU,PUR,Pts+Rebs,Standard,15.5,OVER,2.299999999999997,17.8,0.6499999999999999,17.2,18.4,3,2,Elite,02/26 08:00PM,pr,
CBB,C,0.54,Derrian Ford,TEM,FAU,Pts+Rebs+Asts,Standard,23.5,OVER,1.099999999999998,24.6,0.6499999999999999,24,25.2,3,2,Avg,02/26 07:00PM,pra,
CBB,C,0.53,Aiden Tobiason,TEM,FAU,Rebounds,Goblin,3.5,OVER,0.7999999999999998,4.3,0.7,4.8,3.8,4,1,Avg,02/26 07:00PM,reb,
